Time(s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004162272335957013,0.0,0.0,0.0
1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043314004327820897,0.0,0.0,0.0
1.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00044994842747099776,0.0,0.0,0.0
1.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004666512120178614,0.0,0.0,0.0
1.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004832472239863423,0.0,0.0,0.0
1.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004997352916724439,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005161142446052686,0.0,0.0,0.0
1.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005323829135516133,0.0,0.0,0.0
1.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005485401305204958,0.0,0.0,0.0
1.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005645847287676406,0.0,0.0,0.0
1.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005805155427998957,0.0,0.0,0.0
1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005963314083796,0.0,0.0,0.0
1.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006120311625288934,0.0,0.0,0.0
1.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006276136435339765,0.0,0.0,0.0
1.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006430776909493125,0.0,0.0,0.0
1.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006584221456017768,0.0,0.0,0.0
1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006736458495947527,0.0,0.0,0.0
1.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006887476463121752,0.0,0.0,0.0
1.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007037263804225249,0.0,0.0,0.0
1.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007185808978827685,0.0,0.0,0.0
1.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007333100459422451,0.0,0.0,0.0
1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007479126731465065,0.0,0.0,0.0
1.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007623876293411077,0.0,0.0,0.0
1.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007767337656753429,0.0,0.0,0.0
1.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007909499346059356,0.0,0.0,0.0
1.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008050349899006812,0.0,0.0,0.0
1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008189877866420334,0.0,0.0,0.0
1.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008328071812306486,0.0,0.0,0.0
1.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008464920313888873,0.0,0.0,0.0
1.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008600411961642556,0.0,0.0,0.0
1.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008734535359328076,0.0,0.0,0.0
1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008867279124025087,0.0,0.0,0.0
1.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008998631886165394,0.0,0.0,0.0
1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009128582289565576,0.0,0.0,0.0
1.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009257118991459262,0.0,0.0,0.0
1.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009384230662528789,0.0,0.0,0.0
1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009509905986936581,0.0,0.0,0.0
1.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009634133662355985,0.0,0.0,0.0
1.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009756902400001682,0.0,0.0,0.0
1.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009878200924659762,0.0,0.0,0.0
1.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009998017974717254,0.0,0.0,0.0
1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001011634230219129,0.0,0.0,0.0
1.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010233162672757866,0.0,0.0,0.0
1.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010348467865780168,0.0,0.0,0.0
1.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010462246674336525,0.0,0.0,0.0
1.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010574487905247942,0.0,0.0,0.0
1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010685180379105172,0.0,0.0,0.0
1.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010794312930295514,0.0,0.0,0.0
1.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001090187440702907,0.0,0.0,0.0
